image,centroid_x,centroid_y,cluster
5,477,267,1
6,612,525,2
6,645,338,1
6,547,294,2
6,616,142,2
2,1038,2013,0
2,675,2000,0
2,568,1959,0
2,556,1918,0
2,653,1886,0
2,599,1858,0
2,527,1867,0
2,667,1836,0
2,870,1825,0
2,535,1789,0
2,766,1783,0
2,730,1715,0
2,912,1710,0
2,993,1709,0
2,464,1622,1
2,452,1538,1
2,438,1493,1
2,1105,1480,0
2,448,1453,1
2,447,1408,1
2,1083,1403,0
2,464,1370,1
2,405,1340,1
2,1100,1314,0
2,1090,1228,0
2,1099,1079,0
2,1097,1025,0
2,1079,944,0
2,1090,699,0
2,425,621,1
2,465,589,1
2,506,549,2
2,536,450,1
2,550,390,1
2,746,357,2
2,861,289,2
3,235,416,1
3,384,286,1
3,261,300,1
3,346,197,1
3,542,307,2
3,473,161,1
3,166,301,3
1,992,678,0
